CENTRO BANCARIO INTERNACIONAL,,,,,,,,
Diciembre 2019 ,,,,,,,,
BANCOS,Fecha de Inicio de Operaciones,Procedencia de Capital,Casa Matriz y Sucursales,Cajeros Autom ticos ATM ,Agencias y otros establecimientos,LICENCIA,TIPO BANCO,Comentario
Banco Nacional de Panam ,Oct -1904,Panam ,90,269,3,General,Banco Oficial,S/C
Caja de Ahorros,Jul - 1934,Panam ,59,260,1,General,Banco Oficial,S/C
"Citibank,N.A. Sucursal Panam  ",Ago -  1904,E.U.A.,3,0,0,General,Banco Extranjero,S/C
"Banco Davivienda (Panam ), S.A.(14)",Dic  -  1966,Colombia,7,11,0,General,Banco Extranjero,"Cambio de raz¢n social en Agosto  2012 antes Bancaf‚ (Panam ) ,S.A."
Mega International Commercial Bank CO.LTD,Ago -  1974,Taiwan,1,0,0,General,Banco Extranjero,S/C
The Bank of Nova Scotia,Nov -  1974,Canad ,18,75,1,General,Banco Extranjero,S/C
"Banco Internacional de Costa Rica, S.A. ",Sep -  1976,Costa Rica,2,2,0,General,Banco Extranjero,S/C
"Banco Latinoamericano de Comercio Exterior,S.A.(BLADEX)",Ene -  1978,Multinacional,1,0,0,General,Banco Extranjero,S/C
"Mercantil Banco, S.A.(8)",Mar -  1978,Venezuela,3,3,1,General,Banco Extranjero,"Cambio de raz¢n social antes Banco del Centro, S.A.Feb.2008"
"Pacific Bank, S.A.",Jul  -  1980,Ecuador,1,0,0,General,Banco Extranjero,Cambi¢ de Licencia Internacional a Licencia General en febrero 2013.
Keb Hana Bank (19),Dic  -  1980,Corea del Sur,1,0,0,General,Banco Extranjero,"cambio de raz¢n social en septiembre  2015 antes Korea Exchange Bank, LtD"
"Banesco, S.A. (2)",May  - 1993,Venezuela,22,27,5,General,Banco Extranjero,Cambi¢ de Licencia Internacional a Licencia General en Febrero de 2007.
BCT Bank International (10),Mar -  1994,Costa Rica,7,7,0,General,Banco Extranjero,Cambi¢ de Licencia Internacional a Licencia General en Septiembre de 2008.
"Bank of China ,Panam  Branch",Jul  -  1994,China,4,0,0,General,Banco Extranjero,S/C
"BAC International Bank,  Inc. (16)",Mar -  1996,Colombia,36,235,2,General,Banco Extranjero,Fue adquirido por grupo Aval de Colombia
ST.Georges Bank & Company Inc.,Mar -  2002,Nicaragua,13,14,0,General,Banco Extranjero,S/C
"Scotiabank (Panam ), S.A. (20)",Jun -   2003,Canad ,1,0,0,General,Banco Extranjero,cambio de raz¢n social en febrero  2016 antes Citibank Panam 
"Banco Azteca (Panam ), S.A.",Mar -  2005,M‚xico,7,0,11,General,Banco Extranjero,S/C
"Banco Pichincha Panam , S.A (3)",May - 2005,Ecuador,1,0,1,General,Banco Extranjero,Cambi¢ de Licencia Internacional a Licencia General en Junio de 2006.
"FPB BANK, INC.",May - 2005,Brasil,1,0,0,General,Banco Extranjero,S/C
"BANISI, S.A. (12)",Mar -  2008,Ecuador,2,6,0,General,Banco Extranjero,"Cambio de raz¢n social en septiembre  2011 antes Banco de Guayaquil, S.A. "
"BBP Bank, S.A.  (15)",             May -  2009           ,Ecuador,1,0,0,General,Banco Extranjero,Inici¢ como Banco Bolivariano (Panam ) y en octubre 2013 cambi¢ de nombre 
Banco Lafise Panam  S.A.,Mar -  2010,Nicaragua,5,0,0,General,Banco Extranjero,S/C
"The Bank of Nova Scotia (Panam ), S.A.",Oct -  2010,Canad ,1,0,0,General,Banco Extranjero,S/C
Allbank Corp.,Jul -   2012,Venezuela,2,0,0,General,Banco Extranjero,S/C
"Bancolombia, S.A.",Nov -  2012,Colombia,1,0,0,General,Banco Extranjero,S/C
"Banco Ficohsa (Panam ), S.A.",May - 2011,Honduras,3,3,7,General,Banco Extranjero,S/C
